time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2020-08-18 15:56:22.769 UTC, ,11000,24690624,723264,21126552,407344, ,544, ,14064, , , , , , , , , ,544,346, , , ,309,16,622, ,13877, , , , , , , , , , , , , , ,373664428579,622,4162,373664425841, , , , ,867884657,235729960960,96,96, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,867884657, ,1597760236494, , , , ,3145728,373664428579, , , ,0, , , , , , , ,3, , , , , ,21, , , , , , , , , , , , , , , , ,1,33,121979104,-1, , , , , , ,2178, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13878,39, , , , , , , 
2020-08-18 15:57:22.905 UTC, ,11000,24690624,723264,21126552,407344, ,544, ,13999, , , , , , , , , ,544,346, , , ,309,16,622, ,13814, , , , , , , , , , , , , , ,373664428579,622,4162,373664425841, , , , ,867884657,235731619840,96,96, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,867884657, ,1597760236494, , , , ,3145728,373664428579, , , ,0, , , , , , , ,3, , , , , ,21, , , , , , , , , , , , , , , , , , ,314848080,-1, , , , , , ,2116, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13816,35, , , , , , , 
2020-08-18 15:58:22.907 UTC, ,11000,24690624,723264,21126552,407344, ,544, ,8, , , , , , , , , ,544,346, , , ,309,16,622, ,7, , , , , , , , , , , , , , ,373664428579,622,4162,373664425841, , , , ,867884657,235731030016,96,96, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,867884657, ,1597760236494, , , , ,3145728,373664428579, , , ,0, , , , , , , ,3, , , , , ,21, , , , , , , , , , , , , , , , , , ,316292048,-1, , , , , , ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8, , , , , , , , 
2020-08-18 15:59:22.909 UTC, ,11000,24690624,723264,21126552,407344, ,544, ,13970, , , , , , , , , ,544,346, , , ,309,16,622, ,13786, , , , , , , , , , , , , , ,373664428579,622,4162,373664425841, , , , ,867884657,235728838656,96,96, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,867884657, ,1597760236494, , , , ,3145728,373664428579, , , ,0, , , , , , , ,3, , , , , ,21, , , , , , , , , , , , , , , , , , ,500697136,-1, , , , , , ,2087, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13787,34, , , , , , , 
2020-08-18 16:00:22.910 UTC, ,11000,24690624,723264,21126552,407344, ,544, ,13970, , , , , , , , , ,544,346, , , ,309,16,622, ,13786, , , , , , , , , , , , , , ,373664428579,622,4162,373664425841, , , , ,867884657,235725557760,96,96, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,867884657, ,1597760236494, , , , ,3145728,373664428579, , , ,0, , , , , , , ,3, , , , , ,21, , , , , , , , , , , , , , , , , , ,686409200,-1, , , , , , ,2087, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13787,34, , , , , , , 
2020-08-18 16:01:22.913 UTC, ,11000,24690624,723264,21126552,407344, ,544, ,27940, , , , , , , , , ,544,346, , , ,309,16,622, ,27572, , , , , , , , , , , , , , ,373664428579,622,4162,373664425841, , , , ,867884657,235724488704,96,96, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,867884657, ,1597760236494, , , , ,3145728,373664428579, , , ,0, , , , , , , ,3, , , , , ,21, , , , , , , , , , , , , , , , ,1,17,338630928,-1, , , , , , ,4174, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,27574,68, , , , , , , 
2020-08-18 16:02:22.916 UTC, ,11000,24690624,723264,21126552,407344, ,544, , , , , , , , , , , ,544,346, , , ,309,16,622, , , , , , , , , , , , , , , , ,373664428579,622,4162,373664425841, , , , ,867884657,235723804672,96,96, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,867884657, ,1597760236494, , , , ,3145728,373664428579, , , ,0, , , , , , , ,3, , , , , ,21, , , , , , , , , , , , , , , , , , ,346963984,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-08-18 16:03:22.918 UTC, ,11000,24690624,723264,21126552,407344, ,544, ,13970, , , , , , , , , ,544,346, , , ,309,16,622, ,13786, , , , , , , , , , , , , , ,373664428579,622,4162,373664425841, , , , ,867884657,235723698176,96,96, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,867884657, ,1597760236494, , , , ,3145728,373664428579, , , ,0, , , , , , , ,3, , , , , ,21, , , , , , , , , , , , , , , , , , ,530966320,-1, , , , , , ,2087, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13787,34, , , , , , , 
2020-08-18 16:04:22.921 UTC, ,11000,24690624,723264,21126552,407344, ,544, , , , , , , , , , , ,544,346, , , ,309,16,622, , , , , , , , , , , , , , , , ,373664428579,622,4162,373664425841, , , , ,867884657,235723087872,96,96, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,867884657, ,1597760236494, , , , ,3145728,373664428579, , , ,0, , , , , , , ,3, , , , , ,21, , , , , , , , , , , , , , , , , , ,532463968,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-08-18 16:05:22.923 UTC, ,11000,24690624,723264,21126552,407344, ,544, , , , , , , , , , , ,544,346, , , ,309,16,622, , , , , , , , , , , , , , , , ,373664428579,622,4162,373664425841, , , , ,867884657,235727925248,96,96, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,867884657, ,1597760236494, , , , ,3145728,373664428579, , , ,0, , , , , , , ,3, , , , , ,21, , , , , , , , , , , , , , , , , , ,533709696,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
